1,Candi Penataran,"Candi Penataran secara administratif terletak di Desa Penataran, Kec. Nglegok, Kab.Blitar. Candi ini terletak sekitar 12 km di utara Kota Blitar, berada di kaki Gunung Kelud. Merupakan komplek candi dengan tataruang persegi, memanjang dari barat ke timur yang dibagi menjadi tiga pelataran. Dahulu antar pelataran dipisahkan oleh dinding, namun saat ini dinding yang dimaksud telah runtuh. Komplek candi ini terdiri dari pintu masuk utama, pendopo agung, teras pendopo, Candi Angka Tahun, Candi Naga, Candi Induk, tubuh candi induk, dan Petirtaan Dalam. Candi Penataran merupakan salah satu contoh luar biasa dari ciri arsitektur Jawa Timur, di mana candinya berupa struktur berundak dengan tempat paling suci terletak pada sisi belakang candi.","Penataran, Nglegok, Blitar, Jawa Timur",1,3
2,Pantai Tambakrejo,"Pantai Tambakrejo terletak di Desa Tambakrejo, Kecamatan Wonotirto, Kabupaten Blitar, atau sekitar 30 km ke&nbsp;arah selatan Kota Blitar. Pantai ini sangat unik karena memiliki garis pantai dengan pasir putih sekitar 10 km. Selain itu, pantai ini cenderung berbentuk teluk, sehingga ombak yang menerjang pantai Tambakrejo tidak begitu besar. Dengan kondisi yang demikian, pantai ini cukup aman untuk dijadikan lokasi bermain air, tetapi tetap memperhatikan keselamatan. Wisata ini merupakan salah satu pantai yang paling favorit di Blitar, sehingga banyak dikunjungi wisatawan lokal maupun asing.","Tambakrejo, Wonotirto, Blitar, Jawa Timur",2,6
3,Pantai Jolosutro,"Pantai lain yang tidak kalah favorit di kabupaten Blitar adalah Pantai Jolosutro. Pantai ini memiliki pasir hitam yang halus, tetapi tetap menawarkan keindahan alam yang tidak ada duanya. Pantai eksotis ini juga cukup terkenal bagi kalangan peselancar karena memiliki ombak yang cukup besar, sehingga bagi kalian yang berniat untuk bermain air di pantai ini, diharap selalu waspada. Lokasi pantai ini terletak di Desa Ringenrejo, Kecamatan Wates, Kabupaten Blitar, atau berjarak 45 Km dari pusat Kota Blitar. Selain itu, lokasi pantai ini juga berbatasan dengan Kabupaten Malang, sehingga cocok untuk dijadikan tempat singgah melepas penat ketika sedang menempuh perjalanan ke Malang.","Ringinsari, Ringenrejo, Wates, Blitar, Jawa Timur",2,5
4,Pantai Pangi,"Pantai Pangi merupakan salah satu tempat wisata pantai di Blitar yang cukup terkenal. Pantai ini tampak seperti teluk, dengan bebatuan karang yang menutupinya. Lokasinya yang cukup tersembunyi menyebabkan keasrian alam pantai ini tetap terjaga. Selain itu, pantai ini menawarkan suasana pedesaan yang akan membuat kalian betah berlama-lama di tempat wisata ini. Apabila kalian ingin ""menyatu dengan alam"", kalian dapat camping di pantai ini bersama teman-teman terdekat. Lokasi pantai ini terletak di Desa Tumpak Kepuh, Kecamatan Bakung, Kabupaten Blitar.","Tumpakkepuh, Bakung, Blitar, Jawa Timur",2,4
5,Wisata Pesanggrahan Tambakrejo,"Apabila kalian berkunjung ke wisata Blitar Pantai Tambakrejo, sempatkan untuk mengunjungi pesanggrahan yang terletak di atas bukit pantai tersebut. Lokasi ini menawarkan keindahan pemandangan pantai yang indah, serta dipadukan dengan suasana senja yang romantis. Pesanggrahan ini merupakan sebuah penginapan yang memiliki beberapa fasilitas istimewa, mulai dari bedroom, hingga ruang rapat yang sangat cocok untuk dijadikan tempat meeting.","Tambakrejo, Wonotirto, Blitar, Jawa Timur",2,6
6,Pantai Serang,"Salah satu tempat wisata di Blitar yang wajib dikunjungi adalah Pantai Serang. Salah satu daya tarik dari pantai ini adalah pasir putih bersih dan halus, tentu saja sangat instagramable. Pantai ini berlokasi di Desa Serang, Kecamatan Panggungrejo, Kabupaten Blitar, atau 45 km ke arah barat daya Kota Blitar. Pantai ini juga cukup aman untuk dijadikan lokasi berenang karena memiliki ombak yang tidak terlalu besar.","Serang, Panggungrejo, Blitar, Jawa Timur",2,7
7,Pantai Peh Pulo,"Satu lagi lokasi pantai yang memiliki keindahan alam di bagian selatan Kabupaten Blitar adalah Pantai Peh Pulo. Lokasi pantai ini terletak di daerah Panggung Rejo atau dapat ditempuh menggunakan kendaraan pribadi selama kurang lebih Sembilan puluh menit. Wisata pantai Blitar ini cukup tersembunyi dan panorama alamnya masih cukup asri. Selain itu, pantai ini juga menjadi salah satu tempat wisata Blitar terbaru yang sangat direkomendasikan untuk kalian kunjungi.","Dusun Pehpulo, Sumbersih, Panggungrejo, Blitar, Jawa Timur",2,7
8,Pantai Gondo Mayit,"Mendengar namanya saja sudah cukup seram, bukan? Namun demikian, pesona wisata alam di Blitar ini memiliki keindahan alam yang sangat bagus. Pantai ini masih sepi, memiliki pasir putih yang panjang, dan cukup terjaga keasriannya. Objek wisata Blitar ini tergolong baru, sangat cocok untuk dijadikan sebagai lokasi camping. Untuk menuju lokasi wisata ini, sangat membutuhkan perjuangan karena kalian harus melewati bukit dan menyeberang sungai. Pantai ini sangat cocok bagi kalian yang memiliki jiwa petualang.","Tambakrejo, Wonotirto, Blitar, Jawa Timur",2,6
9,Pantai Umbul Waru,"Tempat wisata di Blitar yang lagi hits adalah wisata Pantai Umbul Waru. Pantai ini terletak di Desa Sidomulyo, Kecamatan Bakung, Kabupaten Blitar. Pantai ini sangat unik karena memiliki air terjun yang mengalir dari atas bukit menuju ke Samudra Hindia. Akses menuju lokasi pantai ini cukup sulit karena kalian harus melalui jalanan terjal dan sempit. Apabila kalian akan menuju ke sana, kami rekomendasikan untuk menyiapkan perbekalan yang cukup.","Sidomulyo, Bakung, Blitar, Jawa Timur",2,4
10,Tempat Wisata Alam Air Terjun Coban Wilis,"Tempat wisata di Blitar ini terletak di kawasan Gunung Kelud, tepatnya di Desa Wisata Ekologis, Semen Gandusari, Kecamatan Gandusari, Kabupaten Blitar. Untuk mencapai air terjun ini, kalian harus melalui jalan setapak sekitar dua jam! Lokasi wisata Blitar ini cocok bagi kalian yang memiliki jiwa petualangan.","Slumbung, Gandusari, Blitar, Jawa Timur",3,8
11,Tempat Wisata Air Terjun Sirah Kencong Blitar,"Wisata Blitar air terjun yang satu ini terletak di Desa Ngadirenggo, Kecamatan Wlingi, Kabupaten Blitar. Sama seperti wisata air terjun sebelumnya, akses menuju lokasi ini juga cukup menantang karena harus berjalan kaki melewati hutan belantara. Lokasinya yang tersembunyi menyebabkan wisata ini masih cukup asri.","Ngadirenggo, Wlingi, Blitar, Jawa Timur",3,9
12,Wisata Alam Air Terjun Grenjeng Blitar,"Objek wisata di Blitar ini merupakan sebuah air terjun yang cukup unik, karena bukan berada di sekitar perbukitan kapur, melainkan sebuah tebing breksi yang jarang dijumpai di wilayah ini. Wisata ini menjadi salah satu tempat wisata di Blitar terbaru dan cukup hits. Lokasi wisata ini terletak di Desa Balerejo, Kecamatan Panggungrejo, Kabupaten Blitar. Di tempat ini, kalian dapat menikmati segarnya air yang cukup jernih.","Panggungrejo, Blitar, Jawa Timur",3,7
